Date,Calories,Steps,Distance,floors,Minutes_sitting,Minutes_of_slow_activity,Minutes_of_moderate_activity,Minutes_of_intense_activity,Calories_Activity
01/01/2016,2.992,10.46,"7,92",0,685,375,0,0,1.558
02/01/2016,3.265,13.837,"10,33",7,601,339,15,36,1.841
03/01/2016,3.09,12.517,"9,3",11,1.034,272,9,49,1.566
04/01/2016,3.116,10.366,"7,7",16,650,235,53,30,1.59
05/01/2016,3.241,12.127,"9,13",16,682,284,47,28,1.76
06/01/2016,2.992,11.327,"8,42",14,613,314,5,32,1.53
07/01/2016,3.146,11.098,"8,25",15,720,247,53,30,1.63
08/01/2016,3.174,12.395,"9,23",2,567,405,7,8,1.812
09/01/2016,2.615,6.643,"4,94",0,676,283,0,0,1.093
10/01/2016,2.711,8.846,"6,57",9,1.167,183,36,29,1.197
11/01/2016,3.013,9.642,"7,16",15,758,247,44,24,1.472
12/01/2016,2.993,9.982,"7,42",8,839,222,30,26,1.387
13/01/2016,2.627,6.613,"4,91",11,857,205,13,3,1.02
14/01/2016,3.128,12.161,"9,21",11,719,198,34,60,1.56
15/01/2016,3.361,14.837,"11,37",11,687,210,58,71,1.917
16/01/2016,3.379,16.759,"12,59",7,589,333,23,59,1.977
17/01/2016,2.878,9.602,"7,26",0,547,279,4,15,1.314
18/01/2016,2.144,3.761,"2,79",7,998,99,5,3,0.467
19/01/2016,2.543,7.456,"5,6",6,1.215,103,22,35,0.881
20/01/2016,3.472,16.755,"12,78",10,551,331,24,51,2.073
21/01/2016,3.218,11.937,"8,96",12,699,254,57,32,1.729
22/01/2016,3.426,14.577,"10,96",5,519,391,34,22,2.11
23/01/2016,3.615,17.541,"13,12",9,570,358,50,45,2.286
24/01/2016,1.801,0.39,"0,03",0,1.076,5,0,0,0.16
25/01/2016,2.42,6.61,"4,91",10,1.27,93,24,26,0.756
26/01/2016,3.066,13.073,"9,71",18,790,166,52,61,1.521
27/01/2016,2.886,9.997,"7,46",9,759,164,52,28,1.291
28/01/2016,3.092,10.707,"7,96",10,753,262,57,18,1.592
29/01/2016,2.931,9.952,"7,39",17,760,233,30,26,1.4
30/01/2016,3.034,9.774,"7,26",0,519,357,16,2,1.641
31/01/2016,2.787,6.26,"4,65",0,671,298,0,0,1.277
