Date,Calories,Steps,Distance,floors,Minutes_sitting,Minutes_of_slow_activity,Minutes_of_moderate_activity,Minutes_of_intense_activity,Calories_Activity
01/02/2016,2.986,11.426,"8,52",12,911,192,48,43,1.478
02/02/2016,2.974,10.466,"7,78",13,802,152,48,48,1.333
03/02/2016,3.199,12.866,"9,63",11,767,271,45,28,1.703
04/02/2016,2.037,2.449,"1,87",0,821,80,0,0,0.337
05/02/2016,3.11,10.434,"7,75",13,718,243,42,29,1.544
05/02/2016,3.11,10.434,"7,75",13,718,243,42,29,1.544
06/02/2016,3.177,12.578,"9,4",0,563,388,10,11,1.784
07/02/2016,3.182,15.373,"11,7",12,599,273,10,62,1.729
08/02/2016,3.206,12.327,"9,24",8,699,278,28,30,1.68
09/02/2016,2.872,10.457,"7,82",14,847,181,15,41,1.252
10/02/2016,2.662,9.9,"7,43",21,1.237,156,6,41,1.098
11/02/2016,2.899,8.966,"6,66",14,802,235,21,20,1.299
12/02/2016,2.816,8.353,"6,21",19,732,219,17,26,1.187
13/02/2016,3.235,13.907,"10,36",0,551,357,15,15,1.813
14/02/2016,3.289,14.183,"10,54",13,617,374,45,12,1.941
15/02/2016,2.751,8.453,"6,28",11,1.304,124,8,4,0.589
16/02/2016,2.927,7.995,"5,98",15,802,231,34,16,1.347
17/02/2016,2.783,6.707,"4,98",10,913,174,36,19,1.131
18/02/2016,2.804,8.109,"6,1",13,1.212,143,42,33,1.146
19/02/2016,2.815,11.971,"9,23",11,865,179,3,51,1.234
20/02/2016,2.96,11.371,"8,45",0,457,327,14,19,1.533
21/02/2016,2.038,2.19,"1,63",0,954,93,0,0,0.351
22/02/2016,2.594,6.592,"4,93",10,1.234,155,23,14,0.958
23/02/2016,2.841,8.624,"6,41",10,739,193,36,25,1.22
24/02/2016,2.933,8.307,"6,17",12,762,195,25,37,1.305
25/02/2016,2.816,7.941,"5,9",9,878,142,47,32,1.184
26/02/2016,2.764,8.05,"5,98",9,1.203,177,40,20,1.15
27/02/2016,3.029,9.923,"7,37",5,1.124,184,25,44,1.306
28/02/2016,2.844,9.504,"7,15",2,687,283,10,1,1.322
29/02/2016,2.612,6.847,"5,09",10,731,206,20,1,1.023
