Date,Calories,Steps,Distance,floors,Minutes_sitting,Minutes_of_slow_activity,Minutes_of_moderate_activity,Minutes_of_intense_activity,Calories_Activity
01/03/2016,3.117,11.618,"8,66",12,776,217,59,29,1.584
02/03/2016,2.897,10.45,"7,76",19,765,199,35,26,1.292
03/03/2016,2.864,11.478,"8,69",17,749,167,5,45,1.219
04/03/2016,2.996,10.65,"7,97",13,754,227,31,30,1.42
05/03/2016,2.228,3.103,"2,31",1,1.042,155,0,0,0.572
06/03/2016,2.66,6.96,"5,2",0,1.105,280,0,0,1.103
07/03/2016,3.22,16.699,"13,4",11,791,158,9,97,1.664
08/03/2016,3.083,14.068,"11,26",14,824,167,8,65,1.469
09/03/2016,3.339,18.092,"14,05",19,1.12,243,8,69,1.833
10/03/2016,3.307,18.53,"14,71",20,793,162,21,100,1.766
11/03/2016,3.135,14.587,"10,86",2,1.013,313,14,38,1.726
12/03/2016,2.84,9.992,"7,45",4,685,339,0,13,1.438
13/03/2016,1.79,0,0,0,1.44,0,0,0,0
14/03/2016,2.538,9.336,"7,4",11,1.288,73,4,50,850
15/03/2016,3.133,15.596,"12,61",13,782,187,3,77,1.557
16/03/2016,3.96,25.385,"20,45",17,638,254,17,124,2.556
17/03/2016,3.15,14.577,"11,46",17,823,162,10,81,1.553
18/03/2016,3.214,16.667,"13,08",12,832,173,9,90,1.647
19/03/2016,3.87,13.361,"9,93",7,530,418,38,50,2.548
20/03/2016,2.731,6.754,"5,02",1,564,315,0,0,1.237
21/03/2016,2.464,5.424,"4,03",10,1.047,193,7,2,0.859
22/03/2016,3.555,17.913,"13,41",15,593,382,22,55,2.243
23/03/2016,3.063,14.324,"10,89",14,669,222,10,59,1.542
24/03/2016,2.503,8.049,"6,03",8,1.09,123,3,24,0.817
25/03/2016,3.052,11.122,"8,29",0,599,386,9,0,1.646
26/03/2016,3.021,9.57,"7,11",1,879,395,0,0,1.587
27/03/2016,2.223,4.667,"3,47",0,889,114,20,2,0.588
28/03/2016,1.79,0,0,0,1.44,0,0,0,0
29/03/2016,2.648,9.781,"7,34",12,1.23,139,6,39,1.009
30/03/2016,3.768,21.383,"16,69",17,641,384,23,57,2.417
31/03/2016,3.512,20.109,"15,18",21,629,302,35,63,2.107
