Date,Calories,Steps,Distance,floors,Minutes_sitting,Minutes_of_slow_activity,Minutes_of_moderate_activity,Minutes_of_intense_activity,Calories_Activity
01/04/2016,2.814,11.13,"8,61",8,900,162,3,54,1.176
02/04/2016,2.884,8.25,"6,13",0,950,314,7,1,1.335
03/04/2016,2.931,8.682,"6,45",0,669,355,0,0,1.437
04/04/2016,3.314,17.535,"13,66",14,881,168,8,102,1.731
05/04/2016,3.83,20.154,"15,05",3,445,471,28,45,2.58
06/04/2016,4.112,23.286,"17,84",19,561,451,28,67,2.85
07/04/2016,3.048,13.004,"9,87",14,856,214,3,58,1.472
08/04/2016,3.241,13.441,"10,04",2,449,439,0,0,1.874
09/04/2016,3.038,10.216,"7,59",0,535,390,0,0,1.607
10/04/2016,2.304,5.634,"4,19",0,921,92,41,4,0.659
11/04/2016,3.419,17.422,"13,38",34,674,290,14,61,1.928
12/04/2016,3.179,14.475,"10,92",14,664,291,10,47,1.696
13/04/2016,3.427,17.777,"13,66",20,696,276,10,80,1.967
14/04/2016,3.479,19.087,"14,65",17,711,221,12,96,1.954
15/04/2016,3.501,16.29,"12,2",12,467,427,25,11,2.166
16/04/2016,3.342,14.252,"10,64",6,675,323,60,18,1.947
17/04/2016,2.769,8.262,"6,14",3,1.089,302,0,0,1.266
18/04/2016,3.486,19.45,"15,06",18,860,190,6,98,1.926
19/04/2016,3.596,17.232,"13,61",17,1.002,262,4,88,2.085
20/04/2016,3.321,16.946,"12,93",25,762,238,5,67,1.795
21/04/2016,3.464,19.183,"14,67",24,723,218,7,97,1.964
22/04/2016,3.328,12.963,"9,66",10,404,436,14,10,2.02
23/04/2016,2.612,6.456,"4,8",6,782,305,0,0,1.135
24/04/2016,2.863,10.413,"7,73",6,700,269,28,24,1.411
25/04/2016,3.175,10.499,"7,8",0,661,430,9,4,1.805
26/04/2016,3.357,17.226,"12,97",19,751,185,16,95,1.798
27/04/2016,3.631,19.784,"15,51",25,694,151,26,128,2.07
28/04/2016,4.03,25.571,"19,3",15,606,293,42,129,2.711
29/04/2016,3.442,17.528,"13,36",15,594,239,8,82,1.931
30/04/2016,3.061,9.831,"7,3",1,561,414,0,0,1.651
