Date,Calories,Steps,Distance,floors,Minutes_sitting,Minutes_of_slow_activity,Minutes_of_moderate_activity,Minutes_of_intense_activity,Calories_Activity
01/06/2015,3.354,16.836,"12,51",8,586,248,35,70,1.862
02/06/2015,3.369,15.944,"11,85",29,640,214,15,93,1.827
03/06/2015,3.168,14.273,"10,6",11,721,178,16,89,1.592
04/06/2015,3.47,16.06,"11,93",11,724,239,38,70,1.939
05/06/2015,3.134,13.594,"10,1",16,677,215,36,52,1.583
06/06/2015,3.436,15.48,"11,5",11,520,246,78,42,1.927
07/06/2015,3.634,19.44,"14,48",8,966,210,28,130,2.155
08/06/2015,3.267,13.926,"10,35",21,701,265,63,29,1.785
09/06/2015,3.072,11.338,"8,42",28,806,228,43,31,1.494
10/06/2015,2.75,7.14,"5,31",12,785,220,20,4,1.081
11/06/2015,3.187,15.449,"11,48",22,676,205,39,64,1.676
12/06/2015,3.207,11.92,"8,86",11,593,352,34,11,1.777
13/06/2015,4.083,26.444,"19,65",22,549,429,56,56,2.818
14/06/2015,2.789,12.335,"9,16",35,1.245,88,10,93,1.209
15/06/2015,3.234,14.137,"10,5",11,642,305,8,51,1.756
16/06/2015,2.952,11.568,"8,66",13,734,189,17,54,1.352
17/06/2015,3.352,16.813,"12,52",52,709,202,2,110,1.809
18/06/2015,3.425,15.217,"11,31",61,641,280,44,59,1.974
19/06/2015,3.09,13.158,"9,78",101,715,171,30,66,1.511
20/06/2015,3.699,19.311,"14,35",14,519,291,55,93,2.348
21/06/2015,3.385,16.186,"12,03",42,637,229,52,75,1.921
22/06/2015,3.088,12.713,"9,48",59,631,225,24,44,1.533
23/06/2015,2.823,9.132,"6,79",15,777,223,32,15,1.236
24/06/2015,3.678,20.239,"15,04",25,621,292,37,95,2.292
25/06/2015,3.003,11.199,"8,32",28,737,227,36,20,1.419
26/06/2015,3.534,20.269,"15,06",4,720,218,54,99,2.078
27/06/2015,3.022,11.655,"8,66",10,670,220,28,53,1.491
28/06/2015,3.237,12.314,"9,15",21,601,290,25,51,1.75
29/06/2015,3.142,12.586,"9,35",19,735,234,35,49,1.579
30/06/2015,2.945,12.445,"9,25",11,635,200,18,58,1.393
