Date,Calories,Steps,Distance,floors,Minutes_sitting,Minutes_of_slow_activity,Minutes_of_moderate_activity,Minutes_of_intense_activity,Calories_Activity
01/07/2015,3.352,14.193,"10,55",19,669,210,47,70,1.782
02/07/2015,3.063,11.56,"8,62",30,708,158,25,67,1.419
03/07/2015,3.465,15.695,"11,66",22,648,248,63,54,1.947
04/07/2015,2.894,9.747,"7,24",8,646,253,22,19,1.337
05/07/2015,3.515,15.731,"11,69",17,567,317,52,55,2.111
06/07/2015,2.699,8.391,"6,23",11,877,136,36,30,1.082
07/07/2015,2.74,8.326,"6,19",11,1.118,217,10,3,1.106
08/07/2015,3.244,14.241,"10,58",14,700,234,22,59,1.662
09/07/2015,2.994,7.298,"5,42",6,836,290,10,1,1.322
10/07/2015,3.134,10.644,"7,91",15,683,283,36,17,1.606
11/07/2015,3.191,12.371,"9,19",11,639,194,46,60,1.589
12/07/2015,2.81,7.58,"5,63",10,607,258,16,0,1.201
13/07/2015,3.259,12.168,"9,04",18,731,212,52,60,1.725
14/07/2015,3.383,15.135,"11,28",20,740,167,47,87,1.813
15/07/2015,3.569,14.996,"11,14",32,573,321,50,54,2.155
16/07/2015,3.017,8.704,"6,47",14,697,225,31,29,1.392
17/07/2015,3.228,12.739,"9,47",16,761,247,47,47,1.733
18/07/2015,3.352,13.247,"9,84",20,484,317,31,47,1.91
19/07/2015,3.237,11.66,"8,66",10,680,286,5,53,1.703
20/07/2015,3.278,13.702,"10,18",21,708,246,48,43,1.775
21/07/2015,3.04,11.24,"8,35",17,732,208,52,24,1.438
22/07/2015,3.071,13.262,"9,85",20,1.093,166,33,70,1.495
23/07/2015,2.984,9.09,"6,75",17,719,234,23,23,1.349
24/07/2015,3.468,15.779,"11,72",23,618,346,48,21,2.073
25/07/2015,2.706,6.174,"4,59",3,677,231,13,4,1.046
26/07/2015,3.09,11.614,"8,63",9,503,301,2,40,1.573
27/07/2015,3.091,13.46,10,13,822,190,29,64,1.527
28/07/2015,2.98,0.1,"7,43",13,803,230,44,11,1.37
29/07/2015,3.138,10.68,"7,94",16,634,322,21,4,1.628
30/07/2015,3.246,14.105,"10,48",20,718,225,60,44,1.727
31/07/2015,2.654,9.194,"6,83",20,784,198,7,0,0.914
