Date,Calories,Steps,Distance,floors,Minutes_sitting,Minutes_of_slow_activity,Minutes_of_moderate_activity,Minutes_of_intense_activity,Calories_Activity
01/08/2015,3.453,17.497,"13,02",11,1.092,219,54,45,1.673
02/08/2015,2.651,5.765,"4,28",8,544,245,6,6,1.039
03/08/2015,3.42,15.362,"11,41",16,683,226,65,54,1.883
04/08/2015,2.863,9.87,"7,33",20,793,186,28,32,1.225
05/08/2015,3.326,14.502,"10,78",34,520,250,41,59,1.838
06/08/2015,3.472,14.652,"10,89",26,562,350,42,20,2.079
07/08/2015,2.849,7.628,"5,67",11,638,283,11,8,1.297
08/08/2015,3.168,13.877,"10,31",32,609,206,57,51,1.638
09/08/2015,3.109,11.433,"8,49",15,561,236,40,35,1.564
10/08/2015,3.139,13.655,"10,15",13,985,285,8,23,1.617
11/08/2015,2.857,13.535,"10,08",7,1.348,44,4,14,0.347
12/08/2015,2.055,1.883,"1,4",1,1.37,70,0,0,0.287
13/08/2015,3.218,11.354,"8,44",8,694,366,4,10,1.718
14/08/2015,3.01,11.532,"8,57",4,572,301,26,10,1.542
15/08/2015,2.813,6.129,"4,55",3,635,256,8,1,1.159
16/08/2015,2.706,6.238,"4,64",3,688,267,0,0,1.084
17/08/2015,3.683,15.572,"11,57",9,515,472,33,14,2.362
18/08/2015,3.106,10.886,"8,09",19,639,292,27,20,1.578
19/08/2015,3.217,12.213,"9,07",6,421,381,13,8,1.834
20/08/2015,3.421,12.929,"9,61",4,565,425,25,18,2.07
21/08/2015,3.382,16.365,"12,16",5,461,329,45,16,1.95
22/08/2015,3.498,17.252,"12,82",15,481,382,19,42,2.164
23/08/2015,3.288,14.537,"10,8",3,518,345,19,47,1.937
24/08/2015,3.215,13.404,"9,96",18,685,192,38,71,1.648
25/08/2015,3.063,10.94,"8,13",12,697,199,52,50,1.53
26/08/2015,2.928,10.032,"7,45",13,757,175,45,45,1.328
27/08/2015,3.229,14.008,"10,41",6,544,334,18,35,1.828
28/08/2015,3.356,12.149,"9,03",11,1.051,369,9,11,1.861
29/08/2015,3.89,19.977,"14,84",26,648,395,23,74,2.54
30/08/2015,2.961,11.924,"8,91",64,1.421,0,0,0,0
31/08/2015,3.136,10.757,"7,99",15,1.187,145,43,65,1.532
