Date,Calories,Steps,Distance,floors,Minutes_sitting,Minutes_of_slow_activity,Minutes_of_moderate_activity,Minutes_of_intense_activity,Calories_Activity
01/09/2015,3.681,12.229,"9,11",24,689,421,17,16,2.2
02/09/2015,3.009,10.33,"7,68",16,770,248,16,15,1.369
03/09/2015,3.094,11.689,"8,69",11,1.043,182,50,51,1.53
04/09/2015,3.518,15.627,"11,61",26,606,284,50,55,2.063
05/09/2015,2.885,10.681,"7,94",1,656,240,15,30,1.356
06/09/2015,2.745,7.907,"5,88",0,654,287,0,0,1.217
07/09/2015,2.829,9.487,"7,05",17,1.156,152,40,28,1.197
08/09/2015,2.742,8.253,"6,13",11,1.137,91,16,29,0.763
09/09/2015,4.351,22.238,"16,52",16,355,407,87,85,3.181
10/09/2015,2.967,10.65,"7,91",15,940,198,38,42,1.421
11/09/2015,3.054,12.038,"8,94",14,700,201,44,57,1.53
12/09/2015,2.937,11.48,"8,53",2,462,315,8,13,1.481
13/09/2015,2.977,9.199,"6,84",5,600,361,15,8,1.564
14/09/2015,2.947,9.564,"7,11",16,1.118,168,43,46,1.355
15/09/2015,2.821,9.019,"6,7",13,755,144,72,25,1.247
16/09/2015,3.041,10.239,"7,61",13,675,192,35,46,1.464
17/09/2015,2.796,7.739,"5,75",14,741,211,17,10,1.14
18/09/2015,2.978,12.62,"9,38",9,773,170,59,39,1.419
19/09/2015,3.16,14.226,"10,57",11,669,291,35,41,1.736
20/09/2015,2.325,3.858,"2,87",1,1.255,185,0,0,0.7
21/09/2015,3.458,17.603,"13,08",35,1.053,223,56,67,1.912
22/09/2015,2.988,10.699,"7,95",17,655,252,32,21,1.471
23/09/2015,2.561,7.261,"5,39",17,908,135,14,18,0.869
24/09/2015,3.159,10.608,"7,88",17,1.107,177,63,52,1.6
25/09/2015,3.193,12.271,"9,12",7,548,323,34,24,1.799
26/09/2015,2.934,9.998,"7,45",2,782,327,0,0,1.431
27/09/2015,2.589,5.757,"4,28",1,800,270,0,0,1.033
28/09/2015,2.874,8.995,"6,68",13,826,171,45,33,1.29
29/09/2015,2.757,7.553,"5,61",13,789,163,54,15,1.146
30/09/2015,2.714,6.494,"4,83",11,711,208,26,5,1.092
