Date,Calories,Steps,Distance,floors,Minutes_sitting,Minutes_of_slow_activity,Minutes_of_moderate_activity,Minutes_of_intense_activity,Calories_Activity
01/10/2015,2.712,7.951,"5,91",11,667,191,40,9,1.126
02/10/2015,2.809,7.424,"5,52",8,801,179,43,25,1.206
03/10/2015,2.322,6.813,"5,06",0,1.315,75,41,9,0.667
04/10/2015,2.319,3.991,"2,97",1,1.136,163,0,0,0.645
05/10/2015,2.859,9.725,"7,23",6,988,268,24,14,1.378
06/10/2015,2.978,8.936,"6,64",16,780,205,46,27,1.383
07/10/2015,2.678,6.565,"4,88",10,841,157,27,20,1.009
08/10/2015,2.767,7.865,"5,84",15,1.118,204,32,13,1.178
09/10/2015,2.549,8.718,"6,48",10,976,65,0,0,0.258
10/10/2015,2.918,12.364,"9,22",0,1.046,234,29,32,1.423
11/10/2015,2.509,5.216,"3,88",1,1.243,175,17,5,0.878
12/10/2015,2.687,6.58,"4,89",10,1.246,104,57,33,1.059
13/10/2015,2.698,7.015,"5,21",10,1.244,130,37,29,1.036
14/10/2015,2.621,8.103,"6,02",5,1.219,215,4,2,1.017
15/10/2015,2.698,6.962,"5,17",11,1.234,115,57,28,1.075
16/10/2015,3.295,16.478,"12,3",12,643,304,8,43,1.833
17/10/2015,2.871,11.603,"8,62",3,732,236,38,22,1.384
18/10/2015,2.899,11.429,"8,49",0,962,269,8,17,1.39
19/10/2015,2.581,6.293,"4,68",1,854,226,0,0,0.956
20/10/2015,2.672,7.269,"5,4",14,1.29,105,22,23,0.791
21/10/2015,2.406,4.471,"3,32",2,1.134,165,0,0,0.686
22/10/2015,3.41,17.913,"13,31",7,1.053,210,39,75,1.851
23/10/2015,2.511,5.431,"4,04",1,678,166,9,13,0.808
24/10/2015,2.907,11.672,"8,67",0,663,222,48,29,1.401
25/10/2015,3.435,14.777,"10,98",0,597,302,57,39,1.943
26/10/2015,2.931,9.171,"6,81",9,767,273,30,7,1.414
27/10/2015,2.867,8.807,"6,54",11,810,224,29,12,1.275
28/10/2015,2.47,5.623,"4,18",2,779,170,19,3,0.817
29/10/2015,3.109,12.91,"9,59",20,1.091,258,24,20,1.519
30/10/2015,2.942,8.805,"6,54",12,821,170,51,29,1.264
31/10/2015,2.736,7.107,"5,28",0,510,277,0,0,1.162
