Date,Calories,Steps,Distance,floors,Minutes_sitting,Minutes_of_slow_activity,Minutes_of_moderate_activity,Minutes_of_intense_activity,Calories_Activity
01/11/2015,2.395,3.862,"2,87",0,889,166,0,0,0.661
02/11/2015,2.59,7.368,"5,47",13,1279,126,22,13,0.777
03/11/2015,2.403,6.269,"4,66",9,143,10,0,0,0.37
04/11/2015,2.917,8.52,"6,33",14,662,191,43,24,1.294
05/11/2015,2.851,8.116,"6,03",13,827,228,37,8,1.258
06/11/2015,2.82,8.268,"6,14",14,776,145,75,22,1.218
07/11/2015,3.69,14.489,"10,77",0,525,280,52,68,2.285
08/11/2015,3.067,9.212,"6,84",2,508,198,27,53,1.51
09/11/2015,2.828,9.5,"7,06",0,756,218,28,13,1.225
10/11/2015,3.336,11.151,"8,29",1,705,198,40,79,1.799
11/11/2015,2.867,12.351,"9,18",1,981,181,66,24,1.353
12/11/2015,2.847,10.67,"7,93",1,684,162,17,61,1.228
13/11/2015,2.46,5.574,"4,14",1,1209,156,8,16,0.778
14/11/2015,3.445,11.587,"8,61",4,608,159,41,103,1.953
15/11/2015,2.853,9.499,"7,06",2,738,167,28,44,1.219
16/11/2015,3.59,13.788,"10,53",18,978,282,31,61,1.99
17/11/2015,3.792,18.361,"13,72",33,543,366,73,42,2.462
18/11/2015,3.222,14.055,"10,44",10,673,268,53,27,1.771
19/11/2015,3.092,11.927,"8,86",9,726,305,21,37,1.65
20/11/2015,3.395,15.221,"11,31",6,464,316,40,58,2.004
21/11/2015,2.802,8.568,"6,42",1,1174,249,3,14,1.209
22/11/2015,2.177,3.284,"2,44",0,1269,98,3,8,0.477
23/11/2015,3.035,9.408,"6,99",1,682,295,31,14,1.552
24/11/2015,2.843,10.261,"7,62",1,1182,210,2,46,1.262
25/11/2015,2.829,8.218,"6,11",22,1142,155,50,22,1.177
26/11/2015,3.076,9.76,"7,25",13,113,214,61,30,1.502
27/11/2015,3.242,10.769,8,17,725,222,60,42,1.711
28/11/2015,3.254,11.671,"8,7",5,643,375,7,15,1.776
29/11/2015,3.247,14.444,"10,73",14,618,258,39,51,1.821
30/11/2015,4.012,23.313,"17,32",16,550,389,67,75,2.743
