Date,Calories,Steps,Distance,floors,Minutes_sitting,Minutes_of_slow_activity,Minutes_of_moderate_activity,Minutes_of_intense_activity,Calories_Activity
01/12/2015,3.232,16.81,"12,49",14,750,152,9,97,1.618
02/12/2015,3.125,10.745,"8,01",10,634,174,48,62,1.559
03/12/2015,3.165,10.784,"8,04",14,774,201,25,68,1.6
04/12/2015,2.835,10.74,"8,08",11,11,146,39,52,1.271
05/12/2015,2.872,8.531,"6,36",0,723,325,0,0,1.354
06/12/2015,3.072,12.738,"9,46",10,811,244,45,35,1.579
07/12/2015,3.107,13.52,"10,07",13,672,261,13,50,1.603
08/12/2015,3.801,15.884,"11,83",2,962,248,25,123,2.393
09/12/2015,3.062,10.026,"7,45",17,803,204,29,38,1.449
10/12/2015,3.044,11.868,"8,84",17,119,170,26,54,1.411
11/12/2015,3.082,12.381,"9,22",17,1096,212,30,52,1.503
12/12/2015,2.766,7.157,"5,32",11,605,290,0,0,1.216
13/12/2015,2.787,7.055,"5,24",2,690,248,19,6,1.182
14/12/2015,2.831,9.348,"6,99",18,827,179,22,42,1.229
15/12/2015,2.711,8.566,"6,39",15,898,137,28,33,1.038
16/12/2015,2.714,9.786,"7,27",20,1118,159,29,28,1.11
17/12/2015,2.709,8.371,"6,22",18,1069,146,31,24,1.05
18/12/2015,2.917,9.428,"7,01",10,1141,220,43,21,1.331
19/12/2015,3.11,13.742,"10,21",6,579,357,15,22,1.734
20/12/2015,3.391,15.636,"11,73",2,550,316,56,23,1.973
21/12/2015,3.145,12.778,"9,49",15,664,313,42,6,1.678
22/12/2015,2.636,7.378,"5,48",12,838,176,33,12,1.044
23/12/2015,1.789,0,0,0,144,0,0,0,0
24/12/2015,2.573,6.452,"4,79",0,1217,223,0,0,0.962
25/12/2015,2.808,7.837,"5,82",0,663,332,0,0,1.311
26/12/2015,2.626,6.504,"4,83",0,588,282,0,0,1.089
27/12/2015,2.604,6.444,"4,84",1,746,252,0,0,1.03
28/12/2015,2.845,7.845,"5,83",2,686,337,0,0,1.359
29/12/2015,3.135,12.26,"9,11",11,636,375,3,26,1.718
30/12/2015,3.05,12.154,"9,05",9,617,276,6,45,1.567
31/12/2015,2.856,7.801,"5,8",0,577,362,0,0,1.394
